OBJECTID,METALLOGEN,LOCALITY,STATE,TOPOSHEET,MINERAL_OR,RESERVE,GRADE,HOSTROCK,MORPHOGENE,FORMATION
5,JHAKRA PARSOLA BELT,PARSOLA,RAJASTHAN,46 I,Zn-Pb,OCCURRENCE,-,"DOLOMITE,QUARTZITE,CARB-PHYLLITE",STRATABOUND-CONCORDANT,DEBARI Gp.
447,ZAWAR BELT,MOCHIA,RAJASTHAN,45 H,Pb-Zn,24.98 M.TONNES,"2.2% Pb,4.36% Zn",DOLOMITE,STRATABOUND-DISSEMINATION/STRINGERS,UDAIPUR Gp.
449,ZAWAR BELT,SONARIA-RUPARIA,RAJASTHAN,45 H,Pb-Zn,4.0 M.TONNES,"3.0% Zn,1.0% Pb",DOLOMITE,STRATABOUND-DISSEMINATION/STRINGERS,UDAIPUR Gp.
55,AKOLA-WARI-BHINDER BELT,WARI,RAJASTHAN,45 H,Cu,1.06 M.TONNES(PROB);1.95(POS),1.10%Cu;1.08%Cu,"CALC SCHIST,MARBLE,AMPHIBOLITE",LENTICULAR-STRATABOUND,BHILWARA Sgp.
476,,KARARA,RAJASTHAN,45 D,Fl (Fluorite),,,ACID VOLCANICS,VEIN TYPE,MALANI RHYOLITE
331,RAJPURATDARIBA-BETHUMNI BELT,DARIBA-RAJPURA,RAJASTHAN,45 L,Pb-Zn,29.97 M.TONNES (TOTAL OF BELT),"1.603%Pb,6.07%Zn(AVERAGE)",DOLOMITE AND GRAPHITE SCHIST,SHEET LIKE/LENSOID STRATABOUND-CONCORDANT,BHILWARA Sgp.
471,,JHALARA,RAJASTHAN,45 L,Fl (Fluorite),,,APLITE AND PEGMATITE VEIN,VEIN TYPE,BANDED GNEISSES
251,KUI-CHITRASONI BELT IN,KUI-CHITRASONI,GUJARAT,45 D,Cu-Pb-Zn,OCCURRENCE,,"QUARTZITE,SCHIST,CALC GNEISS",RESIDUAL DEPOSIT,KUMBHALGARH Gp.
448,ZAWAR BELT,PADUNA,RAJASTHAN,45 H,Pb-Zn,3.14 M.TONNES,"3.25%Zn,0.67`)/oPb","DOLOMITE,CHERTY QUARTZITE",STRATABOUND-DISSEMINATION/STRINGERS,UDAIPUR Gp.
450,ZAWAR BELT,ZAWAR MALA,RAJASTHAN,45 H,Pb-Zn,17.78 M.TONNES,"3.9%Zn,2.1%Pb","DOLOMITE,QUARTZITE,CONGLOMERATE",STRATABOUND-DISSEMINATION/STRINGERS,UDAIPUR Gp.
445,ZAWAR BELT,BAROI MOGRA,RAJASTHAN,45 H,Pb-Zn,9.38 M.TONNES,"3.58?/0Pb,1.22%Zn",DOLOMITE,STRATABOUND-CONCORDANT,UDAIPUR Gp.
153,DERI-AMBAMATA BELT(EASTERN SECTOR),AMBAMATA,GUJARAT,45 D,Zn-Pb-Cu,6.22 M.TONNES,"5.90%Zn,5.53%Pb,1.98%Cu","CALC SCHIST,QUARTZITE INTRUDED BY BASIC",TABULAR/LENSOID/MASSIVE PENECONCORDANT,KUMBALGARH Gp.
444,ZAWAR BELT,BALARIA,RAJASTHAN,45 H,Pb-Zn,12.64 M.TONNES,"1.04% Pb,5.65% Zn",DOLOMITE-CHERTY QUARTZITE,STRATABOUND-CONCORDANT,UDAIPUR Gp.
446,ZAWAR BELT,HAMETAMOGRA,RAJASTHAN,45 H,Zn,1.68 M.TONNES,5% Zn,"DOLOMITE,CONGLOMERATE",STRATABOUND-DISSEMINATION/STRINGERS,UDAIPUR Gp.
67,ARAVALLI BELT,RELPATALIYA (UDAIPUR DISTT.),RAJASTHAN,45H,Ba,0.89 MILLION TONNES,,GNEISSES FLANKED BY METABASICS,"MASSIVE BAND,VEINS",ARAVALLI
154,DERI-AMBAMATA BELT(EASTERN SECTOR),DERI,GUJARAT,45 D,Zn-Pb-Cu,1.0 M.TONNES,"7.32%Zn,5.4%Pb,1.98%Cu",AMPHIBOLITE AND TALC SCHIST,TABULAR/LENSOID/MASSIVE PENECONCORDANT,KUMBALGARH Gp.
54,AKOLA-WARI-BHINDER BELT,BHINDER,RAJASTHAN,45 L,Cu(Pb),OCCURRENCE,,"SCHIST AND CALC SILICATE ROCKS,DOLOMITE",LENTICULAR-STRATABOUND,BHILWARA Sgp.
157,DERI-AMBAMATA BELT(WESTERN SECTOR),PIPELA,RAJASTHAN,45 D,Cu-Zn,OCCURRENCE,"0.5%-2.74%Cu,0.5%Zn,5-80 PPM Ag",PELITIC/BASIC SCHIST,TABULAR/LENSOID/MASSIVE PENECONCORDANT,KUMBALGARH Gp.
156,DERI-AMBAMATA BELT(WESTERN SECTOR),GOLIA,RAJASTHAN,45 D,Cu-Zn,1.0 M.TONNES,0.8% Cu,PELITIC/BASIC SCHIST,TABULAR/LENSOID/MASSIVE PENECONCORDANT,KUMBALGARH Gp.
76,BALDA-DEWAKA BERA BELT,UDWARIA,RAJASTHAN,45 D,WO3,255 TONNES OF SCHEELITE,0.02%-0.22% Wo3,CALC-SILICATE ROCKS,SKARN DEPOSIT,DELHI Sgp.
155,DERI-AMBAMATA BELT(WESTERN SECTOR),BASANTGARH,RAJASTHAN,45 H,Cu-Zn,3.48M.TONNES (0.72 M.TONNES PROBABLE),"1 74%Cu,1.27%Zn",PELITIC/BASIC SCHIST,LENSOID/MASSIVE PENECONCORDANT,KUMBALGARH Gp.
53,AKOLA-WARI-BHIDER BELT,AKOLA,RAJASTHAN,45 L,Cu,3.0 M.TONNES (POSSIBLE),0.74%Cu,"SCHIST,METAVOLCANICS,GNEISSES,DOLOMITE",LENTICULAR-STRATABOUND,BHILWARA Sgp.
152,DERI-AMBAMATA BELT,AJAR! - DANVA,RAJASTHAN,45 H,Zn-Cu-Au,OCCURRENCE,"0.24%-1.89%Cu,0.57%-3.32%Zn","SCHISTS,AMPHIBOLITE",TABULAR/LENSOID/MASSIVE PENECONCORDANT,DELHI Sgp.
75,BALDA-DEWAKA BERA BELT,BALDA,RAJASTHAN,45 D,WO3,137 TONNES(0.11M.TONNES OF ORE),0.2%-0.22% Wo3,"ARGILLITES,ARENITE,CARBONACEOUS ROCKS",PNEUMATOLYTIC VEINS,DELHI Sgp.
77,BALDA-DEWAKI BERA BELT,DEWAKA BERA,RAJASTHAN,45 D,WO3,194 TONNES,0.14%-0.4% Wo3,CALC-SILICATE ROCKS,SKARN DEPOSIT,DELHI Sgp.
321,PUR-BANERA BELT(EASTERN ZONE),DEDWAS(NORTH),RAJASTHAN,45 K,Zn-Pb,0.60 M.TONNES,"2.5%Zn,1.36%Pb",SCHIST AND AMPHIBOLITE,STRATABOUND-CONCORDANT,BHILWARA Sgp.
316,PUR BANERA BELT(EASTERN ZONE),GADERIAKHERA,RAJASTHAN,45 K,Pb-Zn,1.26M.TONNES(EAST);2.38M.TONNES(WEST),"2.09%Zn,0.4%Pb;2.98c/iln,0.7%Pb","AMPHIBOLITE,CALCSCHIST,Fe(MAgnetite) ROCK",STRATABOUND-DISSEMINATION,BHILWARA Sgp.
333,RAJPURA-DARIBA-BETHUMNI BELT,SINDESWARKALAN,RAJASTHAN,45 K,Pb-Zn,"0.93M.TONNES(EAST),0.74 M.TONNES(WEST",6.2%Pb+Zn,DOLOMITE AND GRAPHITE SCHIST,SHEET LIKE/LENSOID STRATABOUND-CONCORDANT,BHILWARA Sgp.
330,RAJPURA-DARIBA-BETHUMNI BELT,BETHUMNI,RAJASTHAN,45 K,Pb-Zn,0.56 M.TONNES,"1.0%Zn,1.64%Pb",DOLOMITE,SHEET LIKE/LENSOID STRATABOUND-CONCORDANT,BHILWARA Sgp.
317,PUR-BANERA BELT,KHERJI-KHERA,RAJASTHAN,45 K,Pb-Zn,OCCURRENCE,-,"DOLOMITE,SCHIST AND QUARTZITE",STRATABOUND-CONCORDANT(THIN BANDS),BHILWARA Sgp.
68,ARAVALLI BELT,SONIANA,RAJASTHAN,45K,Nb-Ta(Columbite-Tantalite),NOT AVAILABLE,38%Ta205,PEGMATITE,,ARAVALLI
65,ARAVALLI BELT,LAKHOLA,RAJASTHAN,45K,Nb-Ta(Columbite-Tantalite),100 Kg METAL RECOVERED,NOT AVAILABLE,PEGMATITE,,
332,RAJPURA-DARIBA-BETHUMNI BELT,SATDHUDIA,RAJASTHAN,45 K,Cu,0.9 M.TONNES,1.35%Cu,SCHIST AND CALC SILICATE ROCKS,SHEET LIKE/LENSOID STRATABOUND-CONCORDANT,BHILWARA Sgp.
327,PUR-BANERA BELT(WESTERN ZONE),GADARIAKHERA,RAJASTHAN,45 K,Cu(Pb-Zn),OCCURRENCE,-,"GAR-MICA SCHIST,CALCSILICATE,AMPHIBOLITE",STRATABOUND-CONCORDANT,BHILWARA Sgp.
328,PUR-BANERA BELT(WESTERN ZONE),GURLA,RAJASTHAN,45 K,Cu,OCCURRENCE,-,"SCHIST,QUARTZITE,CALC GNEISS",STRATABOUND-CONCORDANT,BHILWARA Sgp.
325,PUR-BANERA BELT(EASTERN ZONE),TIRANGA,RAJASTHAN,45 K,Pb-Zn,1.15 M.TONNES,"1.37%Pb,1.85%Zn",SCHIST AND AMPHIBOLITE,STRATABOUND-CONCORDANT,BHILWARA Sgp.
329,PUR-BANERA BELT(WESTERN ZONE),PUR-DARIBA,RAJASTHAN,45 K,Cu,1.64 M.TONNES,1.03%Cu,QUARTZ-AMPHIBOLE-Fe(MAgnetite) SCHIST,STRATABOUND-CONCORDANT,BHILWARA Sgp.
326,PUR-BANERA BELT(EASTERN ZONE),SAMODI,RAJASTHAN,45 K,Pb-Zn,3.686 M.TONNES,"1.37%Pb,1.85%Zn","Qtz.-Bio.SCHIST,CALC SCHIST,Fe(MAgnetite)",STRATABOUND-CONCORDANT,BHILWARA Sgp.
322,PUR-BANERA BELT(EASTERN ZONE),DEDWAS(SOUTH),RAJASTHAN,45 K,Zn-Pb,5.81 M.TONNES,"2.61%Zn,1.5%Pb","QUARTZ-AMPHIBOLE-Fe(MAgnetite) GNEISS,SCHIST",STRATABOUND-CONCORDANT,BHILWARA Sgp.
319,PUR-BANERA BELT (EASTERN ZONE),DEVPURA-BANERA,RAJASTHAN,45 K,Pb-Zn(Ag),3.45 M.TONNES,"0.88%Pb,3.2%Zn",SCHIST AND AMPHIBOLITE,STRATABOUND-CONCORDANT,BHILWARA Sgp.
323,PUR-BANERA BELT(EASTERN ZONE),DEVPURA(RANNINGpURA),RAJASTHAN,45 K,Pb-Zn(Ag),3.45 M.TONNES,"3.2%Zn,0.88%Pb",QUARTZ-AMPHIBOLE-Fe(MAgnetite) GNEISS,STRATABOUND-CONCORDANT,BHILWARA Sgp.
324,PUR-BANERA BELT(EASTERN ZONE),MALIKHERA,RAJASTHAN,45 K,Pb-Zn,2.47 M.TONNES,"2.58%Zn,0.58%Pb","GAR-BIO.SCHIST,MARBLE,Fe(MAgnetite) ROCK",STRATABOUND-CONCORDANT,BHILWARA Sgp.
318,PUR-BANERA BELT,MALIKHERA(EASTERN ZONE),RAJASTHAN,45 K,Pb-Zn,OCCURRENCE,-,"QTZ.-B10.-MUS.SCHIST,AMPH.-MAG.SCHIST",STRATABOUND CONCORDANT,BHILWARA Sgp.
320,PUR-BANERA BELT (WESTERN ZONE),BANERA R.F,RAJASTHAN,45 K,Cu,1.50 M.TONNES,0.89% Cu,SCHIST AND AMPHIBOLITE,STRATABOUND-CONCORDANT,BHILWARA Sgp.
384,SAWAR BELT,TIKHI,RAJASTHAN,450,Pb-Zn,"0.53 M.TONNES(PROV),0.94(PROB)","1.9%Pb,2.54%Zn","DOLOMITE,SCHIST QUARTZITE",STRATABOUND-CONCORDANT,BHILWARA Sgp.
383,SAWAR BELT,SAWAR,RAJASTHAN,450,Pb-Zn,0.34(PROV);0.56(PROB),"2.54%Pb,1.45%Zn","DOLOMITE,SCHIST QUARTZITE",STRATABOUND-CONCORDANT,BHILWARA Sgp.
344,RAMPURA- GUCHA BELT,RAMPURA-AGUCHA,RAJASTHAN,45 K,Zn-Pb-Cu,60.36 M.TONNES(DEMON.+POSSIBLE),"13.48%Zn,1.93%Pb(AVERAGE)","SILL.GNEISS,GRAPHITIC SCHIST,AMPHIBOLITE",SHEET LIKE-MASSIVE-STRATABOUND-CONCORDANT,BHILWARA Sgp.
196,GHUGRA-KAYAR BELT,GHUGRA-KAYAR,RAJASTHAN,45 J,Pb-Zn,24.61 M.TONNES,"3,22%-13%Zn,12%-2.56% Pb","DOLOMITE,QTZT,QTZ-B10 SCHIST",SHMS-CARBONATE HOSTED,DELHI SUPERGROUP
128,CHITAR-KALABAR BELT,KALABAR,RAJASTHAN,45 J,Zn-Cu,1.25 M.TONNES,"6.71 %-6.93%Zn,0.34%-0.42%Cu","QTZT,QTZ-HB SCHIST,CALC GNEISS,MAFIC VOL",VMS-MAFIC VOCANIC HOSTED,DELHI SUPERGROUP
127,CHITAR-KALABAR BELT,CHITAR,RAJASTHAN,45J,Zn-Cu,0.1 M.TONNES,"1.5% Cu,42% S","QTZT,QTZ-HB SCHIST,CALC-GNEISS",VMS TYPE(MAFIC HOSTED),DELHI SUPERGROUP
64,ARAVALLI BELT,FOYASAGAR,RAJASTHAN,45 J,Nb-Ta(Columbite-Tantalite),850Kg RECOVERED,"40.7-49%Nb205,23.9?/0-31.5%Ta205",PEGMATITE,,ARAVALLI
151,DELHI FOLD BELT,PIPALIYA,RAJASTHAN,45 J,"W (Li,Sn)",,,QTZ.VEIN IN SEWARIYA GRANITE,PNEUMATOLYTIC,"BANDED GNEISSIC COMPLEX,DELHI Sgp."
19,KHANKHERA BELT,NITHOR,RAJASTHAN,54 B,Cu,OCCURRENCE,-,"QUARTZITE,TUFF",STRATABOUND-DISSEMINATION/STRINGERS,ALWAR Gp.
17,KHANKHERA BELT,HATHORI,RAJASTHAN,54 B,Cu,OCCURRENCE,-,METASEDIMENTS WITH VOLCANICS,STRATABOUND-DISSEMINATION/STRINGERS,ALWAR Gp.
74,BALDA-DEWAKA BERA BELT,DEGANA,RAJASTHAN,45J,WO3,"1,365TONNES(4.0M.TONNES OF ORE)",0.025%-0.54% Wo3,GRANITE INTRUDING PHYLLITE,GREISENISED QUARTZ VEIN,DELHI Sgp.
63,ALWAR(KALAJODA-GOLBADSAHPUR) BELT,PRATAPGARH,RAJASTHAN,54 A,Cu,OCCURRENCE,,AMPHIBOLITE,STRATABOUND-DISSEMINATIONS/STRINGERS,ALWAR Gp.
9,KALAJODA-GOLBADSHAPUR BELT,DHAULA,RAJASTHAN,54 A,Cu,OCCURRENCE,-,AMPHIBOLITE,STRINGERS/DISSEMINATIONNEIN-STRATABOUND,DELHI Sgp.
33,HETRI PARALLEL BELT,KHANDELA,RAJASTHAN,45 M,Mo-U-Cu,OCCURRENCE,0.03%4.22% Mo,"QUARTZ SCHIST,CARBON PHYLLITE,MYLONITE",DISSEMINATIONS IN SHEARS,AJABGARH Gp.
25,KHETRI BELT,GHATESWAR,RAJASTHAN,45 M,Mo,,-,"QTZT.PHYLLITE,GRANITOID",LENSOID/SHEET LIKE STRATABOUND(SHMS-CLASTIC),AJABGARH GROUP
50,AHIRWALA-BALESWAR,TEJWALA,RAJASTHAN,45 M,Cu,0.5 M.TONNES,0.5% Cu,"QUARTZITE,MARBLE,AMPHIBOLE QUARTZITE",DISSEMINATION/STRINGERS WITHIN SHEAR ZONE,DELHI Sgp
51,AHIRWALA-BALESWAR BELT,AHIRWALA,RAJASTHAN,45 M,Cu(Mo),OCCURRENCE,,"SCHIST,AMPHIBOLITE,QUARTZITE",DISSEMINATION/STRINGERS WITHIN SHEAR ZONE,DELHI Sgp.
34,KHETRI PARALLEL BELT,SALADIPURA,RAJASTHAN,45 M,"PYRITE(Zn,Pb,Cu)",115 M.TONNES(INFERRED)UPTO 200M,"22.5% S (Av.),0.5-1.0%Zn","PHYLLITE,QUARTZITE,AMPHIBOLITE",SHEET LIKE-SEDIMENTARY-REMOBILISED,AJABGARH Gp.
29,KHETRI BELT,NAUGAL,RAJASTHAN,45 M,Cu,OCCURRENCE,-,QUARTZITE AND CARBON PHYLLITE,STRATABOUND-DISSEMINATION/STRINGERS,AJABGARH
52,AHIRWALA-BALESWAR BELT,BALESWAR,RAJASTHAN,45 M,Cu,1)1.0M.TONNES ii)0.5 M.TONNES,1)1.0% Cu ii)0.5% Cu,"SCHIST,AMPHILITE,QUARTZITE",DISSEMINATION/STRINGERS WITHIN SHEAR ZONE,DELHI Sgp.
31,KHETRI BELT,SATKUI,RAJASTHAN,45M,Cu,3.88 M.TONNES,1.19% Cu,QUARTZITE AND CARBON PHYLLITE,REMOBILISED ALONG SHEAR,UPPER AJABGARH
26,KHETRI BELT,GORIA,RAJASTHAN,45 M,CU,OCCURRENCE,-,QUARTZITE-CARBON PHYLLITE,LENSOID/SHEET LIKE STRATABOUND(SHMS-CLASTIC),AJABGARH Gp.(DELHI)
24,KHETRI BELT,DHOLAMALA,RAJASTHAN,45 M,Cu,1.50 M.TONNES,0.93% Cu,"CHLORITE SCHIST,AMPHIBOLITE",LENSOID/SHEET LIKE STRATABOUND(SHMS-CLASTIC),DELHI Sgp.
35,KHETRI PARELLEL BELT,CHICHROLI,RAJASTHAN,45 M,Cu,11.0 M.TONNES,0.92% Cu,SCHIST AND AMPHIBOLITE,STRATABOUND-CONCORDANT,AJABGARH Gp.(DELHI)
36,KHETRI PARELLEL BELT,MALWALI,RAJASTHAN,45 M,Cu,0.55 M.TONNES,1.35% Cu,"GRAPHITIC SCHIST,AMPHIBOLITE",STRATABOUND-CONCORDANT,AJABGARH Gp.(DELHI)
20,KHETRI BELT,AKWALI,RAJASTHAN,45 M,Cu,1.65 M.TONNES,1.5% Cu,SCHISTS AND CARBON PHYLLITE,LENSOID/SHEET LIKE STRATABOUND,UPPER AJABGARH
23,HETRI BELT,DHANOTA,RAJASTHAN,44 P,Cu,OCCURRENCE,-,AMPHIBOLE-BIOTITE-QUARTZ SCHIST,LENSOID/SHEET LIKE STRATABOUND(SHMS-CLASTIC),DELHI Sgp.
22,KHETRI BELT,CHANDMARI,RAJASTHAN,44 P,Cu,4.35 M.TONNES,0.81%-1.17% Cu,AMPHIBOLE-QTZ.-BIO SCHIST,LENSOID/SHEET LIKE STRATABOUND(SHMS-CLASTIC),"DELHI Sgp,"
27,KHETRI BELT,KOLIHAN,RAJASTHAN,44 P,Cu(Au),22.33 M.TONNES FOR 0.5% CUTOFF,"UPTO 3% Cu,0.4-1.5 g/t",AMPHIBOLE-QTZT,LENSOID/SHEET LIKE STRATABOUND(SHMS-CLASTIC),DELHI Sgp
28,KHETRI BELT,MADHANKUDAN,RAJASTHAN,44 P,Cu(Co),39.027 M.TONNES,0.93% Cu,AMPHIBOLITE-QUARTZITE,STRATABOUND-DISSEMINATION/STRINGERS,DELHI Gp.
21,KHETRI BELT,BANWAS,RAJASTHAN,44 L,Cu,2.6 M.TONNES (DRILL INDICATED),1.9% Cu,AMPHIBOLE QTZT.,LENSOID/SHEET LIKE STRATABOUND(SHMS-CLASTIC),DELHI Sgp
32,KHETRI BELT,SINGHANA,RAJASTHAN,44P,Cu,1.11 M.TONNES,0.7% Cu,AMPHIBOITE-QUARTZITE,LENSOID/SHEET LIKE STRATABOUND(SHMS-CLASTIC),DELHI Gp.
30,KHETRI BELT,PACHERI-MURADPUR,RAJASTHAN,44 P,Cu,3.05 M.TONNES OF ORE,"31,000 TONNES OF METAL",AMPHIBOLITE-QUARTZITE,STRATABOUND-DISSEMINATION/STRINGERS,DELHI Gp.
18,KHANKHERA BELT,KHANKHERA,RAJASTHAN,54,Cu,OCCURRENCE,0.5%-2.48% Cu,QUARTZITE WITH TUFF,STRATABOUND-DISSEMINATION/STRINGERS,ALWAR Gp.
59,ALWAR BELT,DEOTA,RAJASTHAN,54 A,Cu,OCCURRENCE,,FELSPATHIC QUARTZITE,DISSEMINATION-STRATABOUND,ALWAR Gp.
150,DELHI FOLD BELT,JAMRAULI(ALWAR DISTT.),RAJASTHAN,54 A,Ba,OCCURRENCE,,QUARTZITE,"FISSURE,VEINS",ALWAR Gp.
61,ALWAR BELT,TATARPUR,RAJASTHAN,54 A,Cu,OCCURRENCE,,HORNBLEND GNEISS,DISSEMINATION-STRATABOUND,ALWAR
60,ALWAR BELT,KHO-DARIBA,RAJASTHAN,54 A,Cu,0.35 M.TONNES OF ORE,,CARBON PHYLLITE WITH QUARTZITE,DSSEMINATION/STRI NG ERS-STRATABOUND,ALWAR Gp.
58,ALWAR BELT,BHAGONI,RAJASTHAN,54 A,Cu,5.22 M.TONNES,1.39% Cu,"PHYLLITE,MARBLE,ARKOSIC QUARTZITE",DISCORDANT-HYDROTHERMAL-VEINS,ALWAR Gp.
62,ALWAR(KALAJODA-GOLBADSAHPUR) BELT,KALAJODA,RAJASTHAN,54A,Cu,OCCURRENCE,,AMPHIBOLITE,STRATABOUND-DISSEMINATIONS,ALWAR Gp.
431,TOSHAM BELT,TOSHAM,HARYANA,44 P,Sn (WO3),,,SCHIST INTRUDED BY GRANITOID,DISCORDANT,DELHI Sgp.
10,KALAJODA-GOLBADSHAPUR BELT,GOLBADSHAPUR,RAJASTHAN,54 A,Cu,1.8 M.TONNES (INFERRED),1.30% Cu,"SCHIST,QUARTZITE,AMPHIBOLE QUARTZITE",STRINGERS/DISSEMINATIONNEIN-STRATABOUND,DELHI Sgp.
