OBJECTID,METALLOGEN,LOCALITY,STATE,TOPOSHEET,MINERAL_OR,RESERVE,GRADE,HOSTROCK,MORPHOGENE,FORMATION
218,HUTTI MASKI BELT,UTI TEMPLE BLOCK,KARNATAKA,56 D,Au,"210,60,80M STRIKE LENGTH",1.0-6.87 g/t,QUARTZ VEIN IN METABASICS,STRATABOUND-REMOBILISED,EASTERN GREENSTONE
93,BELLARY (SANDUR SCHIST BELT),OBULAPURAM,KARNATAKA,57 A,Fe(Hematite),2.28 M.TONNES,"65%Fe,2.5%Si02,2.22%Al203","SHALE,PHYLLITE,BHQ",BEDDED,EASTERN GREENSTONE
1,HUTTI MASKI BELT,WANDALLI,KARNATAKA,560,Au,0.796 MT,5.32 & 3.85 g/t,BASIC AND ACID VOLCANICS,DISCORDANT-SHEAR CONTROL,EASTERN GREENSTONE
215,HUTTI MASKI BELT,SANBAL,KARNATAKA,57 A,Au,935 m STRIKE LENGTH,23-305g/t FOR WIDTH 0.3-0.75m,"CHLORITE-ACTINOLITE SCHIST,SERICITE SCH.",REMOBILISED IN QUARTZ VEIN,KOLAR Gp.
367,SANDUR-UBBALAGUNDI RANGE,NARAYANPURA,KARNATAKA,57 A,Fe(Hematite),5.3 M.TONNES,64% Fe,"BHQ,METAPELITE,METAVOLCANICS",BEDDED,DHARWAR(SANDUR SCH.)
38,KOLAR BELT,CHIGARGUNTA BLOCK,ANDHRA PRADESH,57 L,Au,4.110 MT,3.34 - 13.49 g/t,BASIC AND ACID VOLCANICS,SHEAR CONTROLLED,KOLAR Gp.
42,KOLAR BELT,MALLAPAKONDA,TAMILNADU,57 L,Au,"773,000 TONNES",2.47g/t,"BFQ,AMPHIBOLITE,CHAMPION GNEISS",BIF HOSTED-CONCORDANT,KOLAR Gp.
40,KOLAR BELT,KUDITHAINAPALLE,KARNATAKA,57 L,Au(Mo),0.48 MT,"1.20g/t Au,0.1-0.2% Mo",QUARTZ REEF IN BASIC AND ACID VOLCANICS,SHEAR CONTROLLED,EASTERN GREENSTONE
37,KOLAR BELT,BISANATTAM MINE PROSPECT,KARNATAKA,57 L,Au,"40,000T(DURING CLOSURE)","5.8g/t,265 kg Au RECOVERED",QUARTZ VEIN IN AMPHIBOLITE SCHIST,STRATABOUND,EASTERN GREENSTONE
43,OLAR BELT,SURAPALLE PROSPECT,KARNATAKA,57 L,Au,0.11 M.TONNES(PROBABLE),4.55 g/t & 7.51 g/t,METAACID TUFF(CHAMPION GNEISS),CONCORDANT SILICIFIC ZONE,EASTERN GREENSTONE
142,CHITRADURGA BELT,AJJANAHALLI,KARNATAKA,57 C,Au,1.51 M.TONNES,"2.76g/t,ay.width 7.51 m",METAVOLCANICS,BIF HOSTED DEPOSIT,BABABUDAN (DHARWAR)
335,RAMAGIRI BELT,YEPPAMANA GOLD MINE,ANDHRA PRADESH,57,Au,1.037M.TONNES,3 29 TO 3.69 g/t,"PHYLLITE,CHLORITE SCHIST(GREENSTONE)",STRATABOUND-CONCORDANT,KOLAR GREENSONE
146,CUDDAPAH BASIN,MANGAMPETA(CUDDAPAH DIST),ANDHRA PRADESH,57 N,Ba,23 M.TONNESONNES (PROB.+POS),,CARBONACEOUS HORIZON OF PULLAMPET TUFF,STRATIFORM-BEDDED,CUMBUM(CUDDAPAH)
365,SANDUR-KUMARSWAMI-DONIMALAI RANGE,KUMARSWAMI,"KARNATAKA, A.P","57 A, 57 B",Fe(Hematite),181 M.TONNES,63%Fe,"BHQ,METAPELITE,METAVOLCANICS",VOLCANOSEDIMENTARY-BEDDED,DHARWAR(SANDUR)
435,WAJRAKARUR-LATTAVARAM-CHIGICHERLA BELT,WAJRAKARUR,ANDHRA PRADESH,"57 E , F",Di (Diamond),14488 CARATS,,"GARNET PERIDOTITE, ECLOGITE,PYROXENITE",MAGMATIC DIFFERENTIATION,KIMBERLITE PIPE
339,FIAMAGIRI-PENAKACHERLA-HUNGUD BELT,CHENNABHAVI BLOCK,ANDHRA PRADESH,57,Au,,,METABASITE,AURIFEROUS VEIN IN SHEARS,EASTERN GREENSTONE
334,RAMAGIRI BELT,KOTAPALLE BLOCK,ANDHRA PRADESH,57,Au,-,0.1-1.5 g/t,METASEDIMENTS AND METAVOLCANICS,STRATABOUND-REMOBILISED,DHARWAR Sgp.
337,RAMAGIRI-PENAKACHERLA-HUNGUD BELT,PENAKACHERLA-KUDERU BLOCK,ANDHRA PRADESH,57,Au,OLD WORKINGS LOCATED,-,"METABASALT,BFQ",QTZ-ANKERITE VEIN,EASTERN GREENSTONE
342,RAMGIRI-P NAKACHERLA-HUNGUD BELT,BHADRAMPALLE,ANDHRA PRADESH,57,Au,0.060 MT,3.03 g/t,"METABASITE,METAANDES1TE,B.H.CHERT",QUARTZ VEIN WITH SULPHIDE,EASTERN GREENSTONE
280,NELLORE BELT,VENUMBAKA-RASANUR,ANDHRA PRADESH,57 N,Fe(Hematite),4.18 M.TONNES,58-60%Fe,"PHYLLITE,SCHIST",BEDDED-VOLCANOSEDIMENTARY,DHARWAR Sgp.
338,RAMAGIRI-PENAKACHERLA-HUNGUD BELT,PENUKONDA PROSPECT,ANDHRA PRADESH,57,Au,-,1-5.6g/t,"METABASALT,BIF,SERICITE SCHIST",VEINS WITHIN SHEAR ZONES,EASTERN GREENSTONE
283,NELLORE MICA BELT,KILLY AND VASANTHA MINE,ANDHRA PRADESH,57 N,Be,NOT AVAILABLE,-,PEGMATITE IN SCHIST,-,DHARWAR Sgp.
284,NELLORE MICA BELT,SHANKARA MINE,ANDHRA PRADESH,57 N,"Be with (Samarskite,Alanite)",NOT AVAILABLE,-,PEGMATITE IN SCHIST,-,DHARWAR Sgp.
281,NELLORE MICA BELT,CHANDGAM (L.N.MINE),ANDHRA PRADESH,57 N,Be,NOT AVAILABLE,-,PEGMATITE IN SCHISTS,-,DHARWAR Gp.
336,RAMAGIRI BELT,YERAPPA-GENTALLAPPA BLOCK,ANDHRA PRADESH,57,Au,1.5M.TONNES,6.5g/t,METAVOLCANICS-METASEDIMENTS,STRATABOUND-DISCORDANT,DHARWAR Sgp.
314,PULIVENDLA BELT,MIDIPENTA,ANDHRA PRADESH,57 J,Cu-Pb,OCCURRENCE,-,-,STRATABOUND-CONCORDANT,CUDDAPAH
341,"RAMGIRI-P AKACHERLA-HUNGUD BELT
",KOTTAPALLE PROSPECT,ANDHRA PRADESH,57,Au,0.115 M. TONNES,"2.65 g/t
","METABASITE,BIF,ACID TUFF",GOLD BEARING QUART VEIN,EASTERN GREENSTONE
147,CUDDAPAH BASIN,"VEMULA ""13""(CUDDAPAH DIST.)",ANDHRA PRADESH,57 J,Ba,OCCURRENCE,,FRACTURED TRAP ROCK,VEIN TYPE DEPOSIT,CHITRAVATI Gp.
315,PULIVENDLA BELT,VENKATAPURAM,ANDHRA PRADESH,57 J,Cu-Pb(Ba),OCCURRENCE,-,SHEAR FRACTURE,DISCORDANT-FRACTURE FILLING,CUDDAPAH
145,CUDDAPAH BASIN,CHIMALAPENTA(CUDAPAH DIST),ANDHRA PRADESH,57 J,Ba,OCCERENCE,,"SHEARS WITHIN DOLOMITE,LIMESTONE,TRAP",LENSE ALONG SHEAR,NALLAMALAI Gp(CUDDAPAH Sgp.)
461,,CHIGICHERLA,ANDHRA PRADESH,57,Di (Diamond),OCCURRENCE,,KIMBERLITE,MAGMATIC DIFFERENTIATION,
286,NELLORE TECTONIC BELT,VINJAMUR-KODANDARMA MINE,ANDHRA PRADESH,57 N,"Ba + (Fe(Magnetite),Mn)",OCCURRENCE,,"VOLCANICS,CARBONATITE,TUFF","MASSIVE BANDS,BEDDED",NELLORE Gp.
432,VARIKUNTA-ZANGAMARAJUPALLE,GOLLAPALLE,ANDHRA PRADESH,73 J,Pb-Zn,1.42M.TONNES,"4.0%Pb,2.1%Zn","DOLOMITE,SLATES,CHERTS",STRATABOUND-CONCORDANT,CUMBUM SLATES
433,VARIKUNTA-ZANGAMARAZUPALLE,ZANGAMARAZUPALLE,ANDHRA PRADESH,73 J,Pb-Zn,OCCURRENCE,,DOLOMITE,STRATABOUND-CONCORDANT,CUMBUM
123,CHELIMA-ZANGAMARAJUPALLE BELT,ZANGAMARAJUPALLE,ANDHRA PRADESH,57J,Di (Diamond),PROSPECT,,KIMBERLITE DIATREME,,KUMBUM FORMATION
343,RAMGIRI-P NAKACHERLA-HUNGUD BELT,RAMAPURAM,ANDHRA PRADESH,57,Au,"74,867 TONNES",6.24 g/t,"METABASALT,CHLORITE-ACTINOLITE SCHIST",QUARTZ-SULPHIDE VEINS,EASTERN GREENSTONE
285,NELLORE MICA BELT,TELLABODU,ANDHRA PRADESH,57 N,Nb,NOT AVAILABLE,"68.7%Ta205,15.8%Nb205",PEGMATITE IN SCHIST,-,DHARWAR Sgp.
176,EASTERN GHAT BELT,DEVADA,ANDHRA PRADESH,65 N,Mn,"96,502 TONNES",26%-38% Mn,KHONDALITE,SEDIMENTARY-BEDDED,EASTERN GHAT Sgp.
171,EAST COAST PROVINCE,KODINGAMALI,ORISSA,65 M,Al (Bauxite),91.4 M.TONNES,46% Al203,CAPPING ON KHONDALITE,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.
159,EAST COAST PROVINCE,KARNAPODIKONDA,ANDHRA PRADESH,65 N,Al (Bauxite),17 M.TONNES,48% AI2O3,CAPPING ON GRANULITE/GNEISSES,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.
174,EAST COAST PROVINCE,SASBOHUMALI-PASANGMALI,ORISSA,65 M,Al (Bauxite),78 M.TONNES,46% Al2O3,CAPPING ON KHONDALITE,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.
168,EAST COAST PROVINCE,KARLAPAT,ORISSA,65 I,AI (Bauxite),67 M.TONNES,55% Al2O3,CAPPING ON KHONDALITE/GNEISSES,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.
177,EASTERN GHAT BELT,GARBHAM,ANDHRA PRADESH,65 N,Mn,"49,948 TONNES",26%-32% Mn,KHONDALITE,SEDIMENTARY-BEDDED,"EASTERN GHAT Sgp,"
158,EAST COAST PROVINCE,ARAKU VALLEY AREA,ORISSA,65 J,Al (Bauxite),41.5 M.TONNES,46% (AVERAGE),CAPPING ON KHODALITE,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.
172,EAST COAST PROVINCE,MALIPARBAT,ORISSA,65 J,Al (Bauxite),9.8 M.TONNES,43.2% AI2O3,CAPPING ON GRANULITE/GNEISSES,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.
80,BASTAR BELT,DUNIPODRA,ORISSA,65 J,Sn,222 TONNES,,PEGMATITE/GRANITOID,VEINS-DISCORDANT,BASTAR GRANITOID
163,EAST COAST PROVINCE,BOPHLIMATTI,ORISSA,651,Al (Bauxite),195.73 M.TONNES,46% Al2O3,CAPPING ON KHONDALITE,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.
173,EAST COAST PROVINCE,POTANGI AREA,ORISSA,65 J,Al (Bauxite),"75,12 M.TONNES",45.9% Al203,CAPPING ON GRANULITE/GNEISS,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.
85,BASTAR PROVINCE,MOHOPODNA,CHATTISGARH,65,Sn,NOT AVAILABLE,,PEGMATITE/GRANITOID,VEINS-DISCORDANT,BASTAR GRANITOID
161,EAST COAST PROVINCE,PANCHPATMALI,ORISSA,65 J & N,Al (Bauxite),163.6 M.TONNES,40%-45% AI2O3,CAPPING ON KHONDALITE,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.
89,BASTAR-MALKANGIRI PEGMATITE,MUNDVAL,CHATTISGARH,65,"Nb-Ta(Li,Sn)",OCCURRENCE,"33.2%Nb205,42.80%Ta205",PEGMATITE,TABULAR & VEINS,BENGpAL Gp.& GRANITE
166,EAST COAST PROVINCE,GUDEM AREA,ORISSA,65 J,Al (Bauxite),437 M.TONNES,46.99% Al2O3,CAPPINGS ON KHONDALITE,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.
84,BASTAR KIMBERLITE FIELD,PARAKOT,CHATTISGARH,65 E,Di (Diamond),PROSPECT,,,,INDRAVATI Gp.
87,BASTAR-MALKANGIRI PEGMATITE,GOVINDPAL,CHATTISGARH,65,"Be,Nb,Li",OCCURRENCE,,PEGMATITE,LENSOID-VEINS,BENGpAL Gp.&GRANITE
82,BASTAR KIMBERLITE FIELD,BEJRIPADAR,CHATTISGARH,65 E,Di (Diamond),PROSPECT,,,,INDRAVATI Op.
83,BASTAR KIMBERLITE FIELD,DUSAN PAL,CHATTISGARH,65 E,Di (Diamond),PROSPECT,,KIMBERLITE,,INDRAVATI Gp.
81,BASTAR BELT,KUDRIPAL,CHATTISGARH,65,Sn,239 M.TONNES(45 M.TONNES RECOVERABLE),,PEGMATITE/GRANITOID,DISCORDANT-HYDROTHERMAL VEINS,BASTAR GRANITOID
86,BASTAR-MALKANGIRI PEGMATITE,GARDA,CHATTISGARH,65 E,"Be,Nb,Ta",OCCURRENCE,"66.1%Nb205,11.7%Ta205",PEGMATITE INTRUDING BENGPAL Gp.& GRANITE,PEGMATITIC,BENGpAL Gp.
88,BASTAR-MALKANGIFII PEGMATITE,KOYADONGRI,CHATTISGARH,65,Nb-Ta-Be,OCCURRENCE,"37.6%Nb205,42.1 %Ta205",PEGMATITE INTRUDUING BASIC ROCKS,VEIN TYPE AS LARGE CRYSTAL,BENGpAL Gp.
355,ROWGHAT BELT,ROWGHAT,CHATTISGARH,65 E,Fe(Hematite),859.45 M.TONNES FOR ENTIRE BELT,65%Fe,"BHQ,METAPELITE,METAVOLCANICS",VOLCANOSEDIMENTARY-BEDDED,BAILADILA Gp.
72,BAILADILA BELT,BAILADILA,CHATTISGARH,65,Fe(Hematite),739.58 M.TONNES (TOTAL RESERVE) for 14 deposits,65.09%Fe (AVERAGE),"BHQ,METAPELITE,METAVOLCANICS",VOLCANOSEDIMENTARY-BEDDED,BAILADILA Gp.
164,EAST COAST PROVINCE,DUMKONDA,ANDHRA PRADESH,65 G,Al (Bauxite),"256,000 TONNES",44.5%Al203 (AVERAGE),CAPPINGS ON SILLIMANITE GNEISS,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.
167,EAST COAST PROVINCE,GURLIDU GROUP,ANDHRA PRADESH,65 G,Al (Bauxite),42.18 M.TONNES,46.76%-49.90% AI2O3,CAPPING ON SILLIMANITE GNEISS,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.
265,MAILARAM BELT,MAILARAM,ANDHRA PRADESH,65 C,Cu,0.812M.TONNES,0.0107,QUARTZ REEF AT THE CONTACT OF CHL.SCHIST,STRATABOUND-DISCORDANT,DHARWAR
44,KRISHNA LAMPROIITE FIELD,KRISHNA LAMPROIITE FIELD,ANDHRA PRADESH,65 D,Di (Diamond),PROSPECT,,LAMPROITE,STRATABOUND-CONCORDANT,CUDDAPAH Sgp.
47,AGNIGUNDLA BELT,DHUKONDA,ANDHRA PRADESH,56 P,Cu(Pb),2.15M.TONNES,1.51%Cu,"OUARTZITE,Pb SUBORDINATE IN DOLOMITE",DISSEMINATION-STRATABOUND-SEDIMENTARY,CUMBUM(NALLAMALAI)
49,AGNIGUNDLA BELT,NALLAKONDA,ANDHRA PRADESH,56 P,Cu,0.35M.TONNES,0.015,CALCAREOUS QUARTZITE,ENECHELON LODE-STRATABOUND-SEDIMENTARY,CUMBUM Fm.
48,AGNIGUNDLA BELT,KAREMPUDI,ANDHRA PRADESH,56 P,Pb-Zn,OCCURRENCE,,DOLOMITE,ENECHELON LODE-STRATABOUND-SEDIMENTARY,CUMBUM(NALLAMALAI)
46,AGNIGUNDLA BELT,BANDALAMOTTU,ANDHRA PRADESH,56 P,Cu(Pb),1.04M.T Cu; 2.46 MT Pb; 4.981 Zn,1.71%Cu,DOLOMITE & DOLOMITIC LIMESTONE,ENECHELON LODE-STRATABOUND-SEDIMENTARY,CUMBUM(NALLAMALAI Gp)
282,NELLORE MICA BELT,GONDAPALLE-AGRAHARAN,ANDHRA PRADESH,57 M,Nb-Ta,NOT AVAILABLE,"0.5-1% Nb,Ta",PEGMATITE IN SCHIST,-,DHARWAR Sgp.
434,VARIKUNTA-ZANGAMARAZUPPALLE,VARIKUNTA,ANDHRA PRADESH,57 I,Pb,OCCURRENCE,,DOLOMITE,STRATABOUND-CONCORDANT,CUMBUM Fm.
